time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/CVP
278,,,NaN,,NaN,,,NaN,,,,NaN,
279,100,,NaN,65,NaN,1,-7,NaN,,65,-4,NaN,-21
280,,,NaN,,NaN,,,NaN,,,,NaN,
281,100,,NaN,65,NaN,0,-5,NaN,,65,-4,NaN,-22
282,,,NaN,,NaN,,,NaN,,,,NaN,
283,100,,NaN,65,NaN,1,-5,NaN,,65,-3,NaN,-22
284,,,NaN,,NaN,,,NaN,,,,NaN,
285,100,,NaN,65,NaN,1,-5,NaN,,64,-3,NaN,-22
286,,,NaN,,NaN,,,NaN,,,,NaN,
287,100,,NaN,65,NaN,-2,-5,NaN,,65,-3,NaN,-22
288,,,NaN,,NaN,,,NaN,,,,NaN,
289,100,,NaN,65,NaN,-2,-5,NaN,,65,-3,NaN,-22
290,,,NaN,,NaN,,,NaN,,,,NaN,
291,100,,NaN,65,NaN,-3,-3,NaN,,65,-3,NaN,-22
292,,,NaN,,NaN,,,NaN,,,,NaN,
293,100,,NaN,65,NaN,-3,-6,NaN,,65,-3,NaN,-22
294,,,NaN,,NaN,,,NaN,,,,NaN,
295,100,,NaN,65,NaN,-3,-6,NaN,,64,-3,NaN,-22
296,,,NaN,,NaN,,,NaN,,,,NaN,
297,100,,NaN,65,NaN,-3,-6,NaN,,64,-3,NaN,-22
298,,,NaN,,NaN,,,NaN,,,,NaN,
299,100,,NaN,65,NaN,-3,-6,NaN,,64,-3,NaN,-22
300,,,NaN,,NaN,,,NaN,,,,NaN,
301,100,,NaN,65,NaN,-4,-4,NaN,,66,-4,NaN,-22
302,,,NaN,,NaN,,,NaN,,,,NaN,
303,100,,NaN,65,NaN,-3,-5,NaN,,74,-4,NaN,-22
304,,,NaN,,NaN,,,NaN,,,,NaN,
305,100,,NaN,65,NaN,-3,-5,NaN,,74,-4,NaN,-22
306,,,NaN,,NaN,,,NaN,,,,NaN,
307,100,,NaN,65,NaN,-2,-5,NaN,,74,-4,NaN,-22
308,,,NaN,,NaN,,,NaN,,,,NaN,
309,100,,NaN,66,NaN,-2,-5,NaN,,74,-4,NaN,-22
310,,,NaN,,NaN,,,NaN,,,,NaN,
311,100,,NaN,66,NaN,-3,-3,NaN,,74,-3,NaN,-22
312,,,NaN,,NaN,,,NaN,,,,NaN,
313,100,,NaN,66,NaN,-3,-3,NaN,,72,-3,NaN,-22
314,,,NaN,,NaN,,,NaN,,,,NaN,
315,100,,NaN,65,NaN,-3,-3,NaN,,65,-3,NaN,-22
316,,,NaN,,NaN,,,NaN,,,,NaN,
317,100,,NaN,66,NaN,-3,-3,NaN,,65,-3,NaN,-22
318,,,NaN,,NaN,,,NaN,,,,NaN,
319,100,,NaN,65,NaN,-4,-4,NaN,,65,-4,NaN,-21
320,,,NaN,,NaN,,,NaN,,,,NaN,
321,100,,NaN,65,NaN,-4,-4,NaN,,65,-4,NaN,-21
322,,,NaN,,NaN,,,NaN,,,,NaN,
323,100,,NaN,65,NaN,-4,-4,NaN,,64,-4,NaN,-21
324,,,NaN,,NaN,,,NaN,,,,NaN,
325,100,,NaN,64,NaN,-4,-4,NaN,,64,-4,NaN,-22
326,,,NaN,,NaN,,,NaN,,,,NaN,
327,100,,NaN,65,NaN,-3,-3,NaN,,65,-3,NaN,-22
328,,,NaN,,NaN,,,NaN,,,,NaN,
329,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-22
330,,,NaN,,NaN,,,NaN,,,,NaN,
331,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-22
332,,,NaN,,NaN,,,NaN,,,,NaN,
333,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-22
334,,,NaN,,NaN,,,NaN,,,,NaN,
335,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-22
336,,,NaN,,NaN,,,NaN,,,,NaN,
337,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-21
338,,,NaN,,NaN,,,NaN,,,,NaN,
339,100,,NaN,65,NaN,-3,-5,NaN,,64,-3,NaN,-21
340,,,NaN,,NaN,,,NaN,,,,NaN,
341,100,,NaN,65,NaN,-2,-5,NaN,,64,-3,NaN,-22
342,,,NaN,,NaN,,,NaN,,,,NaN,
343,100,,NaN,65,NaN,-2,-5,NaN,,64,-3,NaN,-22
344,,,NaN,,NaN,,,NaN,,,,NaN,
345,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-22
346,,,NaN,,NaN,,,NaN,,,,NaN,
347,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
348,,,NaN,,NaN,,,NaN,,,,NaN,
349,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
350,,,NaN,,NaN,,,NaN,,,,NaN,
351,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
352,,,NaN,,NaN,,,NaN,,,,NaN,
353,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
354,,,NaN,,NaN,,,NaN,,,,NaN,
355,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
356,,,NaN,,NaN,,,NaN,,,,NaN,
357,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
358,,,NaN,,NaN,,,NaN,,,,NaN,
359,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-21
360,,,NaN,,NaN,,,NaN,,,,NaN,
361,100,,NaN,64,NaN,-4,-4,NaN,,64,-4,NaN,-21
362,,,NaN,,NaN,,,NaN,,,,NaN,
363,100,,NaN,64,NaN,-4,-4,NaN,,63,-4,NaN,-22
364,,,NaN,,NaN,,,NaN,,,,NaN,
365,100,,NaN,64,NaN,-4,-4,NaN,,63,-4,NaN,-22
366,,,NaN,,NaN,,,NaN,,,,NaN,
367,100,,NaN,64,NaN,-4,-4,NaN,,63,-4,NaN,-22
368,,,NaN,,NaN,,,NaN,,,,NaN,
369,100,,NaN,64,NaN,-2,-2,NaN,,63,-2,NaN,-22
370,,,NaN,,NaN,,,NaN,,,,NaN,
371,100,,NaN,64,NaN,-2,-2,NaN,,64,-2,NaN,-22
372,,,NaN,,NaN,,,NaN,,,,NaN,
373,100,,NaN,64,NaN,-2,-2,NaN,,64,-2,NaN,-22
374,,,NaN,,NaN,,,NaN,,,,NaN,
375,100,,NaN,64,NaN,-2,-2,NaN,,64,-2,NaN,-21
376,,,NaN,,NaN,,,NaN,,,,NaN,
377,100,,NaN,64,NaN,-3,-3,NaN,,63,-3,NaN,-21
378,,,NaN,,NaN,,,NaN,,,,NaN,
379,100,,NaN,64,NaN,-3,-3,NaN,,63,-3,NaN,-21
380,,,NaN,,NaN,,,NaN,,,,NaN,
381,100,,NaN,64,NaN,-3,-3,NaN,,63,-3,NaN,-21
382,,,NaN,,NaN,,,NaN,,,,NaN,
383,100,,NaN,64,NaN,-3,-3,NaN,,63,-3,NaN,-22
384,,,NaN,,NaN,,,NaN,,,,NaN,
385,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
