time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
7788,NaN,NaN,,,,,,NaN,,,NaN,,
7789,NaN,NaN,100,13,81,72,33,NaN,60,107,NaN,13,80
7790,NaN,NaN,,,,,,NaN,,,NaN,,
7791,NaN,NaN,100,13,81,73,33,NaN,61,110,NaN,13,80
7792,NaN,NaN,,,,,,NaN,,,NaN,,
7793,NaN,NaN,100,13,80,72,33,NaN,59,106,NaN,13,80
7794,NaN,NaN,,,,,,NaN,,,NaN,,
7795,NaN,NaN,100,13,80,73,33,NaN,61,109,NaN,13,80
7796,NaN,NaN,,,,,,NaN,,,NaN,,
7797,NaN,NaN,100,13,80,72,33,NaN,60,107,NaN,13,80
7798,NaN,NaN,,,,,,NaN,,,NaN,,
7799,NaN,NaN,100,14,80,72,33,NaN,60,106,NaN,13,80
7800,NaN,NaN,,,,,,NaN,,,NaN,,
7801,NaN,NaN,100,14,80,72,33,NaN,59,107,NaN,13,79
7802,NaN,NaN,,,,,,NaN,,,NaN,,
7803,NaN,NaN,100,14,80,71,34,NaN,58,105,NaN,13,79
7804,NaN,NaN,,,,,,NaN,,,NaN,,
7805,NaN,NaN,100,14,80,72,34,NaN,60,108,NaN,13,79
7806,NaN,NaN,,,,,,NaN,,,NaN,,
7807,NaN,NaN,100,14,80,71,34,NaN,58,105,NaN,13,79
7808,NaN,NaN,,,,,,NaN,,,NaN,,
7809,NaN,NaN,100,14,80,71,34,NaN,60,107,NaN,13,79
7810,NaN,NaN,,,,,,NaN,,,NaN,,
7811,NaN,NaN,100,14,79,71,34,NaN,58,105,NaN,13,79
7812,NaN,NaN,,,,,,NaN,,,NaN,,
7813,NaN,NaN,100,14,80,71,34,NaN,59,105,NaN,13,79
7814,NaN,NaN,,,,,,NaN,,,NaN,,
7815,NaN,NaN,100,14,79,72,34,NaN,60,108,NaN,13,79
7816,NaN,NaN,,,,,,NaN,,,NaN,,
7817,NaN,NaN,100,14,79,72,34,NaN,60,106,NaN,13,79
7818,NaN,NaN,,,,,,NaN,,,NaN,,
