time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
249,,,NaN,NaN,,NaN,,,,,,NaN,
250,-5,,NaN,NaN,-5,NaN,0,-5,,53,52,NaN,99
251,,,NaN,NaN,,NaN,,,,,,NaN,
252,-5,,NaN,NaN,-5,NaN,0,-5,,53,52,NaN,99
253,,,NaN,NaN,,NaN,,,,,,NaN,
254,-5,,NaN,NaN,-5,NaN,0,-5,,53,52,NaN,99
255,,,NaN,NaN,,NaN,,,,,,NaN,
256,-5,,NaN,NaN,-5,NaN,0,-5,,53,52,NaN,99
257,,,NaN,NaN,,NaN,,,,,,NaN,
258,-5,,NaN,NaN,-5,NaN,0,-5,,52,52,NaN,99
259,,,NaN,NaN,,NaN,,,,,,NaN,
260,-5,,NaN,NaN,-5,NaN,0,-5,,52,52,NaN,99
261,,,NaN,NaN,,NaN,,,,,,NaN,
262,-5,,NaN,NaN,-5,NaN,0,-5,,52,52,NaN,99
263,,,NaN,NaN,,NaN,,,,,,NaN,
264,-5,,NaN,NaN,-5,NaN,0,-5,,52,52,NaN,99
265,,,NaN,NaN,,NaN,,,,,,NaN,
266,-5,,NaN,NaN,-5,NaN,0,-5,,52,52,NaN,99
267,,,NaN,NaN,,NaN,,,,,,NaN,
268,-5,,NaN,NaN,-5,NaN,0,-5,,52,51,NaN,100
269,,,NaN,NaN,,NaN,,,,,,NaN,
270,-5,,NaN,NaN,-5,NaN,0,-5,,52,51,NaN,100
271,,,NaN,NaN,,NaN,,,,,,NaN,
272,-5,,NaN,NaN,-5,NaN,0,-5,,52,51,NaN,99
273,,,NaN,NaN,,NaN,,,,,,NaN,
274,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,100
275,,,NaN,NaN,,NaN,,,,,,NaN,
276,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,100
277,,,NaN,NaN,,NaN,,,,,,NaN,
278,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,100
279,,,NaN,NaN,,NaN,,,,,,NaN,
280,-4,,NaN,NaN,-4,NaN,0,-4,,53,52,NaN,100
281,,,NaN,NaN,,NaN,,,,,,NaN,
282,-4,,NaN,NaN,-4,NaN,0,-4,,53,52,NaN,100
283,,,NaN,NaN,,NaN,,,,,,NaN,
284,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,100
285,,,NaN,NaN,,NaN,,,,,,NaN,
286,-4,,NaN,NaN,-4,NaN,0,-4,,54,54,NaN,100
287,,,NaN,NaN,,NaN,,,,,,NaN,
288,-4,,NaN,NaN,-4,NaN,0,-4,,56,55,NaN,100
289,,,NaN,NaN,,NaN,,,,,,NaN,
290,-4,,NaN,NaN,-4,NaN,0,-4,,57,58,NaN,100
291,,,NaN,NaN,,NaN,,,,,,NaN,
292,-4,,NaN,NaN,-4,NaN,0,-4,,59,59,NaN,100
293,,,NaN,NaN,,NaN,,,,,,NaN,
294,-4,,NaN,NaN,-4,NaN,0,-4,,59,59,NaN,100
295,,,NaN,NaN,,NaN,,,,,,NaN,
296,-4,,NaN,NaN,-4,NaN,0,-4,,58,58,NaN,100
297,,,NaN,NaN,,NaN,,,,,,NaN,
298,-4,,NaN,NaN,-4,NaN,0,-4,,57,57,NaN,100
299,,,NaN,NaN,,NaN,,,,,,NaN,
300,-4,,NaN,NaN,-4,NaN,0,-4,,56,55,NaN,100
301,,,NaN,NaN,,NaN,,,,,,NaN,
302,-4,,NaN,NaN,-4,NaN,0,-4,,55,54,NaN,100
303,,,NaN,NaN,,NaN,,,,,,NaN,
304,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,100
