time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/ART_DBP
4544,,,,,NaN,NaN,NaN,,NaN,,,,
4545,100,49,49,34,NaN,NaN,NaN,74,NaN,14,99,1,62
4546,,,,,NaN,NaN,NaN,,NaN,,,,
4547,100,49,49,34,NaN,NaN,NaN,74,NaN,14,100,1,61
4548,,,,,NaN,NaN,NaN,,NaN,,,,
4549,100,49,49,34,NaN,NaN,NaN,72,NaN,14,97,1,60
4550,,,,,NaN,NaN,NaN,,NaN,,,,
4551,100,49,49,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4552,,,,,NaN,NaN,NaN,,NaN,,,,
4553,100,49,49,34,NaN,NaN,NaN,71,NaN,14,96,0,59
4554,,,,,NaN,NaN,NaN,,NaN,,,,
4555,100,49,49,34,NaN,NaN,NaN,71,NaN,14,95,0,59
4556,,,,,NaN,NaN,NaN,,NaN,,,,
4557,100,49,49,34,NaN,NaN,NaN,71,NaN,14,95,0,59
4558,,,,,NaN,NaN,NaN,,NaN,,,,
4559,100,49,49,33,NaN,NaN,NaN,70,NaN,14,92,0,58
4560,,,,,NaN,NaN,NaN,,NaN,,,,
4561,100,49,49,33,NaN,NaN,NaN,69,NaN,14,92,0,57
4562,,,,,NaN,NaN,NaN,,NaN,,,,
4563,100,50,49,33,NaN,NaN,NaN,68,NaN,14,90,0,57
4564,,,,,NaN,NaN,NaN,,NaN,,,,
4565,100,50,49,33,NaN,NaN,NaN,68,NaN,14,91,1,57
4566,,,,,NaN,NaN,NaN,,NaN,,,,
4567,100,50,49,33,NaN,NaN,NaN,68,NaN,14,90,1,58
4568,,,,,NaN,NaN,NaN,,NaN,,,,
4569,100,50,49,33,NaN,NaN,NaN,68,NaN,14,91,1,58
4570,,,,,NaN,NaN,NaN,,NaN,,,,
4571,100,50,49,33,NaN,NaN,NaN,68,NaN,14,91,1,58
4572,,,,,NaN,NaN,NaN,,NaN,,,,
4573,100,50,49,33,NaN,NaN,NaN,68,NaN,14,92,0,58
4574,,,,,NaN,NaN,NaN,,NaN,,,,
4575,100,50,49,33,NaN,NaN,NaN,68,NaN,14,91,0,57
4576,,,,,NaN,NaN,NaN,,NaN,,,,
4577,100,50,49,33,NaN,NaN,NaN,68,NaN,14,91,0,58
4578,,,,,NaN,NaN,NaN,,NaN,,,,
4579,100,50,49,33,NaN,NaN,NaN,68,NaN,14,90,1,58
4580,,,,,NaN,NaN,NaN,,NaN,,,,
4581,100,50,50,33,NaN,NaN,NaN,68,NaN,14,91,1,58
4582,,,,,NaN,NaN,NaN,,NaN,,,,
4583,100,50,50,34,NaN,NaN,NaN,68,NaN,14,91,1,58
4584,,,,,NaN,NaN,NaN,,NaN,,,,
4585,100,51,50,34,NaN,NaN,NaN,68,NaN,14,91,1,58
4586,,,,,NaN,NaN,NaN,,NaN,,,,
4587,100,51,50,34,NaN,NaN,NaN,68,NaN,14,90,1,57
4588,,,,,NaN,NaN,NaN,,NaN,,,,
4589,100,51,51,33,NaN,NaN,NaN,68,NaN,14,90,1,58
4590,,,,,NaN,NaN,NaN,,NaN,,,,
4591,100,51,51,33,NaN,NaN,NaN,68,NaN,14,91,1,58
4592,,,,,NaN,NaN,NaN,,NaN,,,,
4593,100,51,51,33,NaN,NaN,NaN,68,NaN,14,91,1,59
4594,,,,,NaN,NaN,NaN,,NaN,,,,
4595,100,51,51,33,NaN,NaN,NaN,69,NaN,14,92,1,58
4596,,,,,NaN,NaN,NaN,,NaN,,,,
4597,100,51,51,33,NaN,NaN,NaN,68,NaN,14,91,1,58
4598,,,,,NaN,NaN,NaN,,NaN,,,,
4599,99,51,51,33,NaN,NaN,NaN,69,NaN,14,91,1,58
4600,,,,,NaN,NaN,NaN,,NaN,,,,
4601,99,52,51,33,NaN,NaN,NaN,68,NaN,14,90,1,59
4602,,,,,NaN,NaN,NaN,,NaN,,,,
4603,100,52,51,33,NaN,NaN,NaN,69,NaN,14,92,1,58
4604,,,,,NaN,NaN,NaN,,NaN,,,,
4605,100,52,51,34,NaN,NaN,NaN,69,NaN,14,91,1,59
4606,,,,,NaN,NaN,NaN,,NaN,,,,
4607,100,52,51,34,NaN,NaN,NaN,69,NaN,14,92,1,59
4608,,,,,NaN,NaN,NaN,,NaN,,,,
4609,100,52,51,34,NaN,NaN,NaN,70,NaN,14,92,1,59
4610,,,,,NaN,NaN,NaN,,NaN,,,,
4611,100,52,52,34,NaN,NaN,NaN,70,NaN,14,93,1,60
