time,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/HR
370,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
371,,,,,,,,NaN,NaN,NaN,,NaN,
372,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
373,,,,,,,,NaN,NaN,NaN,,NaN,
374,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
375,,,,,,,,NaN,NaN,NaN,,NaN,
376,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
377,,,,,,,,NaN,NaN,NaN,,NaN,
378,-4,,-4,87,0,-4,-12,NaN,NaN,NaN,100,NaN,86
379,,,,,,,,NaN,NaN,NaN,,NaN,
380,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
381,,,,,,,,NaN,NaN,NaN,,NaN,
382,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,88
383,,,,,,,,NaN,NaN,NaN,,NaN,
384,-6,,-4,89,0,-4,-12,NaN,NaN,NaN,100,NaN,88
385,,,,,,,,NaN,NaN,NaN,,NaN,
386,-6,,-4,89,0,-5,-12,NaN,NaN,NaN,100,NaN,88
387,,,,,,,,NaN,NaN,NaN,,NaN,
388,-6,,-3,89,0,-5,-12,NaN,NaN,NaN,100,NaN,88
389,,,,,,,,NaN,NaN,NaN,,NaN,
390,-6,,-3,89,0,-5,-12,NaN,NaN,NaN,100,NaN,89
391,,,,,,,,NaN,NaN,NaN,,NaN,
392,203,,,89,0,-5,-12,NaN,NaN,NaN,100,NaN,89
393,,,,,,,,NaN,NaN,NaN,,NaN,
394,-2,,-9,89,0,-4,-12,NaN,NaN,NaN,100,NaN,88
395,,,,,,,,NaN,NaN,NaN,,NaN,
396,-6,,-2,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
397,,,,,,,,NaN,NaN,NaN,,NaN,
398,,,,87,0,-5,-12,NaN,NaN,NaN,100,NaN,86
399,,,,,,,,NaN,NaN,NaN,,NaN,
400,,,,87,0,-6,-12,NaN,NaN,NaN,100,NaN,86
401,,,,,,,,NaN,NaN,NaN,,NaN,
402,,,,87,0,-6,-13,NaN,NaN,NaN,100,NaN,86
