time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
178,,,NaN,NaN,73,-11,NaN,-11,100,-12,71,-11,NaN
179,,,NaN,NaN,,,NaN,,,,,,NaN
180,,,NaN,NaN,71,-11,NaN,-11,100,-12,71,-11,NaN
181,,,NaN,NaN,,,NaN,,,,,,NaN
182,,,NaN,NaN,71,-11,NaN,-11,100,-12,70,-11,NaN
183,,,NaN,NaN,,,NaN,,,,,,NaN
184,,,NaN,NaN,70,-11,NaN,-11,100,-12,69,-11,NaN
185,,,NaN,NaN,,,NaN,,,,,,NaN
186,,,NaN,NaN,69,-11,NaN,-11,100,-11,68,-11,NaN
187,,,NaN,NaN,,,NaN,,,,,,NaN
188,,,NaN,NaN,69,-11,NaN,-11,100,-11,68,-11,NaN
189,,,NaN,NaN,,,NaN,,,,,,NaN
190,,,NaN,NaN,69,-11,NaN,-11,100,-10,68,-11,NaN
191,,,NaN,NaN,,,NaN,,,,,,NaN
192,,,NaN,NaN,69,-11,NaN,-11,100,-10,68,-11,NaN
193,,,NaN,NaN,,,NaN,,,,,,NaN
194,,,NaN,NaN,69,-11,NaN,-11,100,-10,68,-11,NaN
195,,,NaN,NaN,,,NaN,,,,,,NaN
196,,,NaN,NaN,69,-11,NaN,-11,99,-10,69,-11,NaN
197,,,NaN,NaN,,,NaN,,,,,,NaN
198,,,NaN,NaN,70,-11,NaN,-11,99,-10,69,-11,NaN
199,,,NaN,NaN,,,NaN,,,,,,NaN
200,,,NaN,NaN,71,-11,NaN,-11,99,-10,70,-11,NaN
201,,,NaN,NaN,,,NaN,,,,,,NaN
202,,,NaN,NaN,71,-11,NaN,-11,99,-11,71,-11,NaN
203,,,NaN,NaN,,,NaN,,,,,,NaN
204,,,NaN,NaN,71,-11,NaN,-11,99,-11,71,-11,NaN
205,,,NaN,NaN,,,NaN,,,,,,NaN
206,,,NaN,NaN,71,-11,NaN,-11,99,-14,71,-11,NaN
