time,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_SBP
259,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-24,-11
260,NaN,,NaN,,,,NaN,,,,NaN,,
261,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-24,-11
262,NaN,,NaN,,,,NaN,,,,NaN,,
263,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-24,-11
264,NaN,,NaN,,,,NaN,,,,NaN,,
265,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-24,-11
266,NaN,,NaN,,,,NaN,,,,NaN,,
267,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-24,-11
268,NaN,,NaN,,,,NaN,,,,NaN,,
269,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-23,-11
270,NaN,,NaN,,,,NaN,,,,NaN,,
271,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-23,-11
272,NaN,,NaN,,,,NaN,,,,NaN,,
273,NaN,-11,NaN,99,,,NaN,69,70,-11,NaN,-24,-11
274,NaN,,NaN,,,,NaN,,,,NaN,,
275,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-24,-11
276,NaN,,NaN,,,,NaN,,,,NaN,,
277,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-24,-11
278,NaN,,NaN,,,,NaN,,,,NaN,,
279,NaN,-10,NaN,99,,,NaN,69,69,-10,NaN,-24,-10
280,NaN,,NaN,,,,NaN,,,,NaN,,
281,NaN,-10,NaN,100,,,NaN,69,69,-10,NaN,-24,-10
282,NaN,,NaN,,,,NaN,,,,NaN,,
283,NaN,-11,NaN,99,,,NaN,69,69,-11,NaN,-24,-11
284,NaN,,NaN,,,,NaN,,,,NaN,,
285,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-23,-11
286,NaN,,NaN,,,,NaN,,,,NaN,,
287,NaN,-11,NaN,100,,,NaN,70,70,-11,NaN,-23,-11
288,NaN,,NaN,,,,NaN,,,,NaN,,
