time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ART,SNUADC/CVP
210,-2,100,64,-2,NaN,62,-2,145,NaN,0,,NaN,NaN
211,,,,,NaN,,,,NaN,,,NaN,NaN
212,-2,100,64,-2,NaN,62,-2,154,NaN,0,,NaN,NaN
213,,,,,NaN,,,,NaN,,,NaN,NaN
214,1,100,64,1,NaN,61,1,154,NaN,0,,NaN,NaN
215,,,,,NaN,,,,NaN,,,NaN,NaN
216,-1,100,63,-3,NaN,61,0,161,NaN,0,,NaN,NaN
217,,,,,NaN,,,,NaN,,,NaN,NaN
218,-1,100,63,-3,NaN,61,0,161,NaN,0,,NaN,NaN
219,,,,,NaN,,,,NaN,,,NaN,NaN
220,-1,100,63,-1,NaN,61,-1,166,NaN,0,,NaN,NaN
221,,,,,NaN,,,,NaN,,,NaN,NaN
222,-1,100,64,-1,NaN,62,-1,166,NaN,0,,NaN,NaN
223,,,,,NaN,,,,NaN,,,NaN,NaN
224,-1,100,64,-1,NaN,62,-1,171,NaN,0,,NaN,NaN
225,,,,,NaN,,,,NaN,,,NaN,NaN
226,-2,100,65,-11,NaN,63,5,171,NaN,0,,NaN,NaN
227,,,,,NaN,,,,NaN,,,NaN,NaN
228,-2,100,65,-11,NaN,63,5,171,NaN,0,,NaN,NaN
229,,,,,NaN,,,,NaN,,,NaN,NaN
230,-2,100,64,-2,NaN,62,-2,175,NaN,0,,NaN,NaN
231,,,,,NaN,,,,NaN,,,NaN,NaN
232,-2,100,64,-2,NaN,62,-2,175,NaN,0,,NaN,NaN
233,,,,,NaN,,,,NaN,,,NaN,NaN
234,-2,100,63,-2,NaN,61,-2,178,NaN,0,,NaN,NaN
235,,,,,NaN,,,,NaN,,,NaN,NaN
236,-2,100,63,-2,NaN,61,-2,178,NaN,0,,NaN,NaN
237,,,,,NaN,,,,NaN,,,NaN,NaN
238,1,100,63,1,NaN,60,1,180,NaN,0,,NaN,NaN
239,,,,,NaN,,,,NaN,,,NaN,NaN
240,1,100,63,1,NaN,60,1,180,NaN,0,,NaN,NaN
241,,,,,NaN,,,,NaN,,,NaN,NaN
242,-1,100,63,-1,NaN,60,-1,182,NaN,0,,NaN,NaN
243,,,,,NaN,,,,NaN,,,NaN,NaN
244,-1,100,62,-1,NaN,60,-1,182,NaN,0,,NaN,NaN
245,,,,,NaN,,,,NaN,,,NaN,NaN
246,-2,100,62,-2,NaN,60,-2,184,NaN,0,,NaN,NaN
247,,,,,NaN,,,,NaN,,,NaN,NaN
248,-2,100,62,-2,NaN,60,-2,184,NaN,0,,NaN,NaN
249,,,,,NaN,,,,NaN,,,NaN,NaN
250,-2,100,63,-2,NaN,61,-2,185,NaN,0,,NaN,NaN
251,,,,,NaN,,,,NaN,,,NaN,NaN
252,-2,100,63,-2,NaN,61,-2,185,NaN,0,,NaN,NaN
253,,,,,NaN,,,,NaN,,,NaN,NaN
254,-2,100,64,-2,NaN,62,-2,187,NaN,0,,NaN,NaN
255,,,,,NaN,,,,NaN,,,NaN,NaN
256,-2,100,64,-2,NaN,62,-2,187,NaN,0,,NaN,NaN
257,,,,,NaN,,,,NaN,,,NaN,NaN
258,-2,100,64,-2,NaN,62,-2,188,NaN,0,,NaN,NaN
259,,,,,NaN,,,,NaN,,,NaN,NaN
260,-2,100,64,-2,NaN,61,-2,188,NaN,0,,NaN,NaN
261,,,,,NaN,,,,NaN,,,NaN,NaN
262,-2,100,63,-10,NaN,60,5,188,NaN,0,,NaN,NaN
263,,,,,NaN,,,,NaN,,,NaN,NaN
264,-2,100,62,-7,NaN,59,4,188,NaN,0,,NaN,NaN
265,,,,,NaN,,,,NaN,,,NaN,NaN
266,-2,100,61,-5,NaN,58,2,188,NaN,0,,NaN,NaN
267,,,,,NaN,,,,NaN,,,NaN,NaN
268,-2,100,60,-4,NaN,58,1,189,NaN,0,,NaN,NaN
269,,,,,NaN,,,,NaN,,,NaN,NaN
270,-2,100,60,-3,NaN,57,0,189,NaN,0,,NaN,NaN
271,,,,,NaN,,,,NaN,,,NaN,NaN
272,-2,100,60,-3,NaN,58,0,190,NaN,0,,NaN,NaN
273,,,,,NaN,,,,NaN,,,NaN,NaN
274,-2,100,61,-3,NaN,59,0,190,NaN,0,,NaN,NaN
275,,,,,NaN,,,,NaN,,,NaN,NaN
276,-2,100,62,-2,NaN,60,-2,190,NaN,0,,NaN,NaN
277,,,,,NaN,,,,NaN,,,NaN,NaN
278,-2,100,62,-2,NaN,60,-2,190,NaN,0,,NaN,NaN
279,,,,,NaN,,,,NaN,,,NaN,NaN
280,-2,100,62,-2,NaN,60,-2,190,NaN,0,,NaN,NaN
281,,,,,NaN,,,,NaN,,,NaN,NaN
282,-2,100,62,-2,NaN,59,-2,190,NaN,0,,NaN,NaN
283,,,,,NaN,,,,NaN,,,NaN,NaN
284,-2,100,61,-2,NaN,58,-2,191,NaN,0,,NaN,NaN
285,,,,,NaN,,,,NaN,,,NaN,NaN
