time,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/HR
211,86,NaN,NaN,99,-7,NaN,73,,113,108,,NaN,108
212,,NaN,NaN,,,NaN,,,,,,NaN,
213,81,NaN,NaN,99,-7,NaN,69,,103,109,,NaN,109
214,,NaN,NaN,,,NaN,,,,,,NaN,
215,78,NaN,NaN,99,-7,NaN,66,,101,111,,NaN,110
216,,NaN,NaN,,,NaN,,,,,,NaN,
217,76,NaN,NaN,98,-7,NaN,65,,100,110,,NaN,112
218,,NaN,NaN,,,NaN,,,,,,NaN,
219,74,NaN,NaN,98,-7,NaN,62,,96,111,,NaN,112
220,,NaN,NaN,,,NaN,,,,,,NaN,
221,71,NaN,NaN,97,-7,NaN,60,,94,111,,NaN,112
222,,NaN,NaN,,,NaN,,,,,,NaN,
223,68,NaN,NaN,98,-7,NaN,57,,88,113,,NaN,112
224,,NaN,NaN,,,NaN,,,,,,NaN,
225,66,NaN,NaN,98,-7,NaN,55,,85,113,,NaN,112
226,,NaN,NaN,,,NaN,,,,,,NaN,
227,64,NaN,NaN,98,-7,NaN,54,,83,113,,NaN,112
228,,NaN,NaN,,,NaN,,,,,,NaN,
229,62,NaN,NaN,99,-7,NaN,52,,78,113,,NaN,112
230,,NaN,NaN,,,NaN,,,,,,NaN,
231,61,NaN,NaN,100,-7,NaN,43,,78,112,,NaN,112
232,,NaN,NaN,,,NaN,,,,,,NaN,
233,59,NaN,NaN,100,-7,NaN,51,,76,111,,NaN,112
234,,NaN,NaN,,,NaN,,,,,,NaN,
235,59,NaN,NaN,100,-6,NaN,51,,75,111,,NaN,112
236,,NaN,NaN,,,NaN,,,,,,NaN,
237,59,NaN,NaN,99,-6,NaN,51,,74,111,,NaN,112
238,,NaN,NaN,,,NaN,,,,,,NaN,
239,58,NaN,NaN,99,-6,NaN,51,,73,111,,NaN,112
240,,NaN,NaN,,,NaN,,,,,,NaN,
241,57,NaN,NaN,100,-6,NaN,49,,71,112,,NaN,81
242,,NaN,NaN,,,NaN,,,,,,NaN,
243,57,NaN,NaN,98,-6,NaN,49,,71,113,,NaN,80
244,,NaN,NaN,,,NaN,,,,,,NaN,
245,56,NaN,NaN,99,-6,NaN,49,,70,112,,NaN,110
246,,NaN,NaN,,,NaN,,,,,,NaN,
247,57,NaN,NaN,100,-6,NaN,50,,72,110,,NaN,109
248,,NaN,NaN,,,NaN,,,,,,NaN,
249,57,NaN,NaN,100,-6,NaN,50,,72,110,,NaN,109
250,,NaN,NaN,,,NaN,,,,,,NaN,
251,57,NaN,NaN,100,-6,NaN,50,,71,109,,NaN,109
252,,NaN,NaN,,,NaN,,,,,,NaN,
253,56,NaN,NaN,100,-6,NaN,49,,69,109,,NaN,108
254,,NaN,NaN,,,NaN,,,,,,NaN,
255,56,NaN,NaN,100,-6,NaN,49,,69,108,,NaN,108
256,,NaN,NaN,,,NaN,,,,,,NaN,
257,56,NaN,NaN,100,-6,NaN,49,,69,108,,NaN,107
258,,NaN,NaN,,,NaN,,,,,,NaN,
259,55,NaN,NaN,100,-6,NaN,48,,68,108,,NaN,107
260,,NaN,NaN,,,NaN,,,,,,NaN,
261,56,NaN,NaN,100,-6,NaN,49,,69,108,,NaN,108
262,,NaN,NaN,,,NaN,,,,,,NaN,
263,56,NaN,NaN,100,-6,NaN,49,,68,108,,NaN,108
264,,NaN,NaN,,,NaN,,,,,,NaN,
265,56,NaN,NaN,100,-7,NaN,50,,71,107,,NaN,109
266,,NaN,NaN,,,NaN,,,,,,NaN,
267,55,NaN,NaN,100,-7,NaN,49,,68,107,,NaN,110
268,,NaN,NaN,,,NaN,,,,,,NaN,
269,56,NaN,NaN,99,-7,NaN,49,,71,106,,NaN,110
270,,NaN,NaN,,,NaN,,,,,,NaN,
271,55,NaN,NaN,100,-7,NaN,49,,68,107,,NaN,110
272,,NaN,NaN,,,NaN,,,,,,NaN,
273,57,NaN,NaN,100,-7,NaN,50,,70,109,,NaN,110
274,,NaN,NaN,,,NaN,,,,,,NaN,
275,56,NaN,NaN,100,-7,NaN,50,,69,108,,NaN,111
276,,NaN,NaN,,,NaN,,,,,,NaN,
277,56,NaN,NaN,100,-7,NaN,49,,68,110,,NaN,111
278,,NaN,NaN,,,NaN,,,,,,NaN,
279,56,NaN,NaN,100,-7,NaN,49,,69,110,,NaN,110
280,,NaN,NaN,,,NaN,,,,,,NaN,
281,55,NaN,NaN,100,-6,NaN,47,,67,111,,NaN,110
282,,NaN,NaN,,,NaN,,,,,,NaN,
283,55,NaN,NaN,100,-6,NaN,48,,69,111,,NaN,110
284,,NaN,NaN,,,NaN,,,,,,NaN,
285,54,NaN,NaN,100,-6,NaN,46,,65,110,,NaN,110
286,,NaN,NaN,,,NaN,,,,,,NaN,
287,54,NaN,NaN,100,-6,NaN,47,,67,110,,NaN,110
288,,NaN,NaN,,,NaN,,,,,,NaN,
289,53,NaN,NaN,100,-7,NaN,46,,65,110,,NaN,109
290,,NaN,NaN,,,NaN,,,,,,NaN,
291,53,NaN,NaN,100,-7,NaN,47,,66,110,,NaN,109
292,,NaN,NaN,,,NaN,,,,,,NaN,
293,53,NaN,NaN,100,-7,NaN,47,,65,110,,NaN,109
294,,NaN,NaN,,,NaN,,,,,,NaN,
295,53,NaN,NaN,100,-7,NaN,46,,65,110,,NaN,109
296,,NaN,NaN,,,NaN,,,,,,NaN,
297,53,NaN,NaN,100,-7,NaN,47,,66,109,,NaN,109
298,,NaN,NaN,,,NaN,,,,,,NaN,
299,54,NaN,NaN,100,-7,NaN,47,,66,109,,NaN,109
300,,NaN,NaN,,,NaN,,,,,,NaN,
301,54,NaN,NaN,100,-7,NaN,47,,66,109,,NaN,109
302,,NaN,NaN,,,NaN,,,,,,NaN,
303,55,NaN,NaN,100,-6,NaN,49,,66,109,,NaN,108
304,,NaN,NaN,,,NaN,,,,,,NaN,
305,54,NaN,NaN,100,-6,NaN,47,,65,109,,NaN,108
306,,NaN,NaN,,,NaN,,,,,,NaN,
307,55,NaN,NaN,100,-6,NaN,48,,67,108,,NaN,108
308,,NaN,NaN,,,NaN,,,,,,NaN,
309,55,NaN,NaN,100,-6,NaN,48,,67,108,,NaN,108
310,,NaN,NaN,,,NaN,,,,,,NaN,
311,55,NaN,NaN,100,-6,NaN,48,,67,109,,NaN,108
312,,NaN,NaN,,,NaN,,,,,,NaN,
313,54,NaN,NaN,100,-6,NaN,47,,66,108,,NaN,107
314,,NaN,NaN,,,NaN,,,,,,NaN,
315,55,NaN,NaN,100,-7,NaN,48,,68,108,,NaN,107
316,,NaN,NaN,,,NaN,,,,,,NaN,
317,54,NaN,NaN,100,-7,NaN,47,,64,108,,NaN,107
318,,NaN,NaN,,,NaN,,,,,,NaN,
319,54,NaN,NaN,100,-7,NaN,48,,66,108,,NaN,107
320,,NaN,NaN,,,NaN,,,,,,NaN,
321,54,NaN,NaN,100,-7,NaN,47,,64,108,,NaN,107
322,,NaN,NaN,,,NaN,,,,,,NaN,
323,54,NaN,NaN,100,-6,NaN,48,,66,107,,NaN,107
324,,NaN,NaN,,,NaN,,,,,,NaN,
325,55,NaN,NaN,100,-6,NaN,48,,67,107,,NaN,107
326,,NaN,NaN,,,NaN,,,,,,NaN,
327,54,NaN,NaN,100,-6,NaN,48,,66,107,,NaN,107
328,,NaN,NaN,,,NaN,,,,,,NaN,
329,56,NaN,NaN,100,-6,NaN,49,,69,107,,NaN,107
330,,NaN,NaN,,,NaN,,,,,,NaN,
331,55,NaN,NaN,100,-6,NaN,48,,66,107,,NaN,106
332,,NaN,NaN,,,NaN,,,,,,NaN,
333,56,NaN,NaN,100,-6,NaN,50,,69,107,,NaN,106
334,,NaN,NaN,,,NaN,,,,,,NaN,
335,56,NaN,NaN,100,-6,NaN,49,,66,107,,NaN,106
336,,NaN,NaN,,,NaN,,,,,,NaN,
337,56,NaN,NaN,100,-7,NaN,50,,68,107,,NaN,106
338,,NaN,NaN,,,NaN,,,,,,NaN,
339,56,NaN,NaN,100,-7,NaN,49,,67,108,,NaN,106
340,,NaN,NaN,,,NaN,,,,,,NaN,
341,56,NaN,NaN,100,-7,NaN,50,,68,108,,NaN,106
342,,NaN,NaN,,,NaN,,,,,,NaN,
343,56,NaN,NaN,100,-7,NaN,49,,68,107,,NaN,106
344,,NaN,NaN,,,NaN,,,,,,NaN,
345,56,NaN,NaN,100,-6,NaN,49,,68,106,,NaN,106
346,,NaN,NaN,,,NaN,,,,,,NaN,
347,56,NaN,NaN,100,-6,NaN,49,,67,106,,NaN,106
348,,NaN,NaN,,,NaN,,,,,,NaN,
349,56,NaN,NaN,100,-6,NaN,49,,67,106,,NaN,106
350,,NaN,NaN,,,NaN,,,,,,NaN,
351,55,NaN,NaN,100,-6,NaN,48,,66,106,,NaN,106
352,,NaN,NaN,,,NaN,,,,,,NaN,
353,57,NaN,NaN,100,-7,NaN,50,,68,106,,NaN,106
354,,NaN,NaN,,,NaN,,,,,,NaN,
355,56,NaN,NaN,100,-7,NaN,50,,67,106,,NaN,105
356,,NaN,NaN,,,NaN,,,,,,NaN,
357,57,NaN,NaN,100,-7,NaN,50,,69,106,,NaN,105
358,,NaN,NaN,,,NaN,,,,,,NaN,
359,59,NaN,NaN,100,-7,NaN,52,,71,106,,NaN,105
360,,NaN,NaN,,,NaN,,,,,,NaN,
361,60,NaN,NaN,100,-7,NaN,53,,73,106,,NaN,105
362,,NaN,NaN,,,NaN,,,,,,NaN,
363,61,NaN,NaN,100,-7,NaN,53,,73,106,,NaN,105
364,,NaN,NaN,,,NaN,,,,,,NaN,
365,61,NaN,NaN,100,-7,NaN,53,,73,106,,NaN,105
366,,NaN,NaN,,,NaN,,,,,,NaN,
367,61,NaN,NaN,100,-6,NaN,53,,72,106,,NaN,105
368,,NaN,NaN,,,NaN,,,,,,NaN,
369,60,NaN,NaN,100,-6,NaN,53,,71,105,,NaN,105
370,,NaN,NaN,,,NaN,,,,,,NaN,
371,60,NaN,NaN,100,-7,NaN,52,,71,105,,NaN,105
372,,NaN,NaN,,,NaN,,,,,,NaN,
373,59,NaN,NaN,100,-7,NaN,51,,69,105,,NaN,105
374,,NaN,NaN,,,NaN,,,,,,NaN,
375,58,NaN,NaN,100,-7,NaN,51,,68,105,,NaN,105
376,,NaN,NaN,,,NaN,,,,,,NaN,
377,57,NaN,NaN,100,-7,NaN,50,,67,105,,NaN,104
378,,NaN,NaN,,,NaN,,,,,,NaN,
379,57,NaN,NaN,100,-6,NaN,50,,67,105,,NaN,104
380,,NaN,NaN,,,NaN,,,,,,NaN,
381,56,NaN,NaN,100,-6,NaN,49,,67,105,,NaN,104
382,,NaN,NaN,,,NaN,,,,,,NaN,
383,56,NaN,NaN,100,-6,NaN,49,,66,105,,NaN,104
384,,NaN,NaN,,,NaN,,,,,,NaN,
385,56,NaN,NaN,100,-6,NaN,48,,66,105,,NaN,104
386,,NaN,NaN,,,NaN,,,,,,NaN,
387,55,NaN,NaN,100,-7,NaN,48,,66,104,,NaN,103
388,,NaN,NaN,,,NaN,,,,,,NaN,
389,55,NaN,NaN,100,-7,NaN,48,,65,103,,NaN,103
390,,NaN,NaN,,,NaN,,,,,,NaN,
391,54,NaN,NaN,100,-7,NaN,47,,63,103,,NaN,102
392,,NaN,NaN,,,NaN,,,,,,NaN,
393,53,NaN,NaN,100,-7,NaN,47,,62,102,,NaN,102
394,,NaN,NaN,,,NaN,,,,,,NaN,
395,52,NaN,NaN,100,-7,NaN,46,,62,102,,NaN,102
396,,NaN,NaN,,,NaN,,,,,,NaN,
397,55,NaN,NaN,100,-7,NaN,49,,66,102,,NaN,101
398,,NaN,NaN,,,NaN,,,,,,NaN,
399,54,NaN,NaN,100,-7,NaN,46,,63,103,,NaN,101
400,,NaN,NaN,,,NaN,,,,,,NaN,
401,55,NaN,NaN,100,-7,NaN,49,,67,102,5,NaN,101
402,,NaN,NaN,,,NaN,,,,,,NaN,
403,54,NaN,NaN,100,-7,NaN,47,,63,103,5,NaN,101
404,,NaN,NaN,,,NaN,,,,,,NaN,
405,57,NaN,NaN,100,-6,NaN,51,,71,103,5,NaN,101
406,,NaN,NaN,,,NaN,,,,,,NaN,
407,56,NaN,NaN,100,-6,NaN,49,,66,104,5,NaN,101
408,,NaN,NaN,,,NaN,,,,,,NaN,
409,57,NaN,NaN,100,-7,NaN,49,4,67,103,40,NaN,101
410,,NaN,NaN,,,NaN,,,,,,NaN,
411,56,NaN,NaN,100,-7,NaN,49,4,65,103,40,NaN,101
412,,NaN,NaN,,,NaN,,,,,,NaN,
413,57,NaN,NaN,100,-7,NaN,50,4,68,103,40,NaN,102
414,,NaN,NaN,,,NaN,,,,,,NaN,
415,57,NaN,NaN,100,-7,NaN,50,4,67,103,40,NaN,102
416,,NaN,NaN,,,NaN,,,,,,NaN,
417,57,NaN,NaN,100,-7,NaN,50,4,67,103,35,NaN,102
418,,NaN,NaN,,,NaN,,,,,,NaN,
419,58,NaN,NaN,100,-7,NaN,53,4,70,103,35,NaN,102
420,,NaN,NaN,,,NaN,,,,,,NaN,
421,58,NaN,NaN,100,-7,NaN,51,4,68,103,35,NaN,102
422,,NaN,NaN,,,NaN,,,,,,NaN,
423,60,NaN,NaN,100,-7,NaN,53,4,72,103,35,NaN,102
424,,NaN,NaN,,,NaN,,,,,,NaN,
425,58,NaN,NaN,100,-7,NaN,50,7,67,103,32,NaN,103
426,,NaN,NaN,,,NaN,,,,,,NaN,
