time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
235,,,,,,,,NaN,,NaN,NaN,,NaN
236,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
237,,,,,,,,NaN,,NaN,NaN,,NaN
238,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
239,,,,,,,,NaN,,NaN,NaN,,NaN
240,81,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
241,,,,,,,,NaN,,NaN,NaN,,NaN
242,80,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
243,,,,,,,,NaN,,NaN,NaN,,NaN
244,80,,80,1,0,-7,1,NaN,100,NaN,NaN,1,NaN
245,,,,,,,,NaN,,NaN,NaN,,NaN
246,80,,80,1,0,-7,1,NaN,100,NaN,NaN,1,NaN
247,,,,,,,,NaN,,NaN,NaN,,NaN
248,80,,80,1,0,-10,1,NaN,100,NaN,NaN,1,NaN
249,,,,,,,,NaN,,NaN,NaN,,NaN
250,81,,80,1,0,-10,1,NaN,100,NaN,NaN,1,NaN
251,,,,,,,,NaN,,NaN,NaN,,NaN
252,80,,81,1,0,-14,1,NaN,100,NaN,NaN,1,NaN
253,,,,,,,,NaN,,NaN,NaN,,NaN
254,82,,82,1,0,-14,1,NaN,100,NaN,NaN,1,NaN
255,,,,,,,,NaN,,NaN,NaN,,NaN
256,84,,84,1,0,-18,1,NaN,100,NaN,NaN,1,NaN
257,,,,,,,,NaN,,NaN,NaN,,NaN
258,83,,83,1,0,-18,1,NaN,100,NaN,NaN,1,NaN
259,,,,,,,,NaN,,NaN,NaN,,NaN
260,80,,78,1,0,5,1,NaN,100,NaN,NaN,1,NaN
261,,,,,,,,NaN,,NaN,NaN,,NaN
262,78,,75,1,0,5,1,NaN,100,NaN,NaN,1,NaN
263,,,,,,,,NaN,,NaN,NaN,,NaN
264,75,,74,1,0,6,1,NaN,100,NaN,NaN,1,NaN
265,,,,,,,,NaN,,NaN,NaN,,NaN
266,75,,75,1,,6,1,NaN,100,NaN,NaN,1,NaN
267,,,,,,,,NaN,,NaN,NaN,,NaN
268,77,,77,1,,6,1,NaN,100,NaN,NaN,1,NaN
269,,,,,,,,NaN,,NaN,NaN,,NaN
270,78,,77,1,,6,1,NaN,100,NaN,NaN,1,NaN
271,,,,,,,,NaN,,NaN,NaN,,NaN
272,78,,78,1,,6,1,NaN,100,NaN,NaN,1,NaN
273,,,,,,,,NaN,,NaN,NaN,,NaN
274,78,,78,1,,6,1,NaN,100,NaN,NaN,1,NaN
