time,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/RR_CO2,SNUADC/ECG_V5
231,NaN,58,99,-19,58,NaN,-3,,-3,NaN,-3,,NaN
232,NaN,,,,,NaN,,,,NaN,,,NaN
233,NaN,58,100,-19,59,NaN,-3,,-3,NaN,-3,,NaN
234,NaN,,,,,NaN,,,,NaN,,,NaN
235,NaN,58,100,-19,58,NaN,-3,,-3,NaN,-3,,NaN
236,NaN,,,,,NaN,,,,NaN,,,NaN
237,NaN,59,100,-19,59,NaN,-3,,-3,NaN,-3,,NaN
238,NaN,,,,,NaN,,,,NaN,,,NaN
239,NaN,59,100,-19,60,NaN,-3,,-3,NaN,-3,,NaN
240,NaN,,,,,NaN,,,,NaN,,,NaN
241,NaN,59,100,-19,59,NaN,-3,,-3,NaN,-3,,NaN
242,NaN,,,,,NaN,,,,NaN,,,NaN
243,NaN,59,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
244,NaN,,,,,NaN,,,,NaN,,,NaN
245,NaN,59,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
246,NaN,,,,,NaN,,,,NaN,,,NaN
247,NaN,59,99,-19,60,NaN,-3,,-3,NaN,-3,,NaN
248,NaN,,,,,NaN,,,,NaN,,,NaN
249,NaN,59,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
250,NaN,,,,,NaN,,,,NaN,,,NaN
251,NaN,58,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
252,NaN,,,,,NaN,,,,NaN,,,NaN
253,NaN,58,99,-18,59,NaN,-3,,-3,NaN,-3,,NaN
254,NaN,,,,,NaN,,,,NaN,,,NaN
255,NaN,58,99,-18,59,NaN,-3,,-3,NaN,-3,,NaN
256,NaN,,,,,NaN,,,,NaN,,,NaN
257,NaN,57,99,-18,58,NaN,-3,,-3,NaN,-3,,NaN
258,NaN,,,,,NaN,,,,NaN,,,NaN
259,NaN,57,99,-19,58,NaN,-3,,-3,NaN,-3,,NaN
260,NaN,,,,,NaN,,,,NaN,,,NaN
261,NaN,57,99,-19,58,NaN,-3,,-3,NaN,-3,,NaN
262,NaN,,,,,NaN,,,,NaN,,,NaN
263,NaN,58,99,-18,58,NaN,-3,,-3,NaN,-3,,NaN
264,NaN,,,,,NaN,,,,NaN,,,NaN
265,NaN,58,99,-18,58,NaN,-3,,-3,NaN,-3,,NaN
266,NaN,,,,,NaN,,,,NaN,,,NaN
267,NaN,58,99,-19,58,NaN,-3,,-3,NaN,-3,,NaN
268,NaN,,,,,NaN,,,,NaN,,,NaN
269,NaN,58,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
270,NaN,,,,,NaN,,,,NaN,,,NaN
271,NaN,58,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
272,NaN,,,,,NaN,,,,NaN,,,NaN
273,NaN,58,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
274,NaN,,,,,NaN,,,,NaN,,,NaN
275,NaN,59,99,-19,60,NaN,-2,,-2,NaN,-2,,NaN
276,NaN,,,,,NaN,,,,NaN,,,NaN
277,NaN,61,99,-19,61,NaN,-2,,-2,NaN,-2,,NaN
278,NaN,,,,,NaN,,,,NaN,,,NaN
279,NaN,63,99,-19,63,NaN,-2,,-2,NaN,-2,,NaN
280,NaN,,,,,NaN,,,,NaN,,,NaN
281,NaN,63,99,-19,63,NaN,-2,,-2,NaN,-2,,NaN
282,NaN,,,,,NaN,,,,NaN,,,NaN
283,NaN,62,99,-19,63,NaN,-2,,-2,NaN,-2,,NaN
284,NaN,,,,,NaN,,,,NaN,,,NaN
285,NaN,61,99,-19,63,NaN,-2,,-2,NaN,-2,,NaN
286,NaN,,,,,NaN,,,,NaN,,,NaN
287,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
288,NaN,,,,,NaN,,,,NaN,,,NaN
289,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
290,NaN,,,,,NaN,,,,NaN,,,NaN
291,NaN,64,99,-19,63,NaN,-3,,-3,NaN,-3,,NaN
292,NaN,,,,,NaN,,,,NaN,,,NaN
293,NaN,64,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
294,NaN,,,,,NaN,,,,NaN,,,NaN
295,NaN,65,99,-18,65,NaN,3,,-11,NaN,-3,,NaN
296,NaN,,,,,NaN,,,,NaN,,,NaN
