time,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/PLETH_HR
380,-10,NaN,NaN,95,-10,,-10,NaN,98,-8,,NaN,98
381,,NaN,NaN,,,,,NaN,,,,NaN,
382,-10,NaN,NaN,98,-10,,-10,NaN,98,-8,,NaN,98
383,,NaN,NaN,,,,,NaN,,,,NaN,
384,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,97
385,,NaN,NaN,,,,,NaN,,,,NaN,
386,-10,NaN,NaN,98,-10,,-10,NaN,97,-8,,NaN,97
387,,NaN,NaN,,,,,NaN,,,,NaN,
388,-10,NaN,NaN,98,-10,,-10,NaN,96,-8,,NaN,97
389,,NaN,NaN,,,,,NaN,,,,NaN,
390,-10,NaN,NaN,98,-10,,-10,NaN,97,-8,,NaN,98
391,,NaN,NaN,,,,,NaN,,,,NaN,
392,-10,NaN,NaN,97,-10,,-10,NaN,98,-7,,NaN,98
393,,NaN,NaN,,,,,NaN,,,,NaN,
394,-10,NaN,NaN,97,-10,,-10,NaN,99,-7,,NaN,99
395,,NaN,NaN,,,,,NaN,,,,NaN,
396,-10,NaN,NaN,98,-10,,-10,NaN,98,-7,,NaN,100
397,,NaN,NaN,,,,,NaN,,,,NaN,
398,-10,NaN,NaN,99,-10,,-10,NaN,97,-7,,NaN,98
399,,NaN,NaN,,,,,NaN,,,,NaN,
400,-10,NaN,NaN,99,-10,,-10,NaN,97,-7,,NaN,97
401,,NaN,NaN,,,,,NaN,,,,NaN,
402,-10,NaN,NaN,99,-10,,-10,NaN,97,-7,,NaN,98
403,,NaN,NaN,,,,,NaN,,,,NaN,
404,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,98
405,,NaN,NaN,,,,,NaN,,,,NaN,
406,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,98
407,,NaN,NaN,,,,,NaN,,,,NaN,
408,-10,NaN,NaN,98,-10,,-10,NaN,98,-8,,NaN,94
409,,NaN,NaN,,,,,NaN,,,,NaN,
410,-10,NaN,NaN,98,-10,,-10,NaN,99,-8,,NaN,92
411,,NaN,NaN,,,,,NaN,,,,NaN,
412,-10,NaN,NaN,98,-10,,-10,NaN,100,-8,,NaN,92
413,,NaN,NaN,,,,,NaN,,,,NaN,
414,-10,NaN,NaN,98,-10,,-10,NaN,101,-8,,NaN,93
415,,NaN,NaN,,,,,NaN,,,,NaN,
416,-10,NaN,NaN,98,-10,,-10,NaN,100,-8,,NaN,97
417,,NaN,NaN,,,,,NaN,,,,NaN,
418,-10,NaN,NaN,98,-10,,-10,NaN,99,-8,,NaN,99
419,,NaN,NaN,,,,,NaN,,,,NaN,
420,-10,NaN,NaN,97,-10,,-10,NaN,98,-8,,NaN,99
421,,NaN,NaN,,,,,NaN,,,,NaN,
422,-10,NaN,NaN,97,-10,,-10,NaN,97,-8,,NaN,98
423,,NaN,NaN,,,,,NaN,,,,NaN,
