time,SNUADC/CVP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/ECG_II
326,NaN,,NaN,-17,54,100,NaN,-17,,55,-17,-38,NaN
327,NaN,,NaN,,,,NaN,,,,,,NaN
328,NaN,,NaN,-15,54,100,NaN,-17,,55,-18,-38,NaN
329,NaN,,NaN,,,,NaN,,,,,,NaN
330,NaN,,NaN,-15,54,100,NaN,-17,,55,-18,-38,NaN
331,NaN,,NaN,,,,NaN,,,,,,NaN
332,NaN,,NaN,-17,54,100,NaN,-17,,55,-17,-38,NaN
333,NaN,,NaN,,,,NaN,,,,,,NaN
334,NaN,,NaN,-17,54,100,NaN,-17,,55,-17,-39,NaN
335,NaN,,NaN,,,,NaN,,,,,,NaN
336,NaN,,NaN,-17,54,100,NaN,-17,,54,-17,-39,NaN
337,NaN,,NaN,,,,NaN,,,,,,NaN
338,NaN,,NaN,-17,54,100,NaN,-17,,54,-17,-39,NaN
339,NaN,,NaN,,,,NaN,,,,,,NaN
340,NaN,,NaN,-17,54,100,NaN,-17,,54,-17,-39,NaN
341,NaN,,NaN,,,,NaN,,,,,,NaN
342,NaN,,NaN,-17,53,100,NaN,-17,,54,-17,-39,NaN
343,NaN,,NaN,,,,NaN,,,,,,NaN
344,NaN,,NaN,-17,53,100,NaN,-17,,54,-17,-39,NaN
345,NaN,,NaN,,,,NaN,,,,,,NaN
346,NaN,,NaN,-17,53,100,NaN,-17,,54,-17,-39,NaN
347,NaN,,NaN,,,,NaN,,,,,,NaN
348,NaN,,NaN,-17,53,100,NaN,-17,,54,-17,-39,NaN
349,NaN,,NaN,,,,NaN,,,,,,NaN
350,NaN,,NaN,-17,53,100,NaN,-17,,54,-17,-39,NaN
351,NaN,,NaN,,,,NaN,,,,,,NaN
352,NaN,,NaN,-17,53,100,NaN,-17,,53,-17,-39,NaN
353,NaN,,NaN,,,,NaN,,,,,,NaN
354,NaN,,NaN,-17,52,100,NaN,-17,,53,-17,-39,NaN
355,NaN,,NaN,,,,NaN,,,,,,NaN
356,NaN,,NaN,-17,52,100,NaN,-17,,53,-17,-37,NaN
357,NaN,,NaN,,,,NaN,,,,,,NaN
358,NaN,,NaN,-17,52,100,NaN,-17,,53,-17,-37,NaN
359,NaN,,NaN,,,,NaN,,,,,,NaN
360,NaN,,NaN,-17,52,100,NaN,-17,,52,-17,-38,NaN
361,NaN,,NaN,,,,NaN,,,,,,NaN
362,NaN,,NaN,-17,51,100,NaN,-17,,52,-17,-38,NaN
363,NaN,,NaN,,,,NaN,,,,,,NaN
364,NaN,,NaN,-17,51,100,NaN,-17,,52,-17,-38,NaN
365,NaN,,NaN,,,,NaN,,,,,,NaN
366,NaN,,NaN,-17,51,100,NaN,-17,,52,-17,-38,NaN
367,NaN,,NaN,,,,NaN,,,,,,NaN
368,NaN,,NaN,-17,51,100,NaN,-17,,51,-17,-38,NaN
369,NaN,,NaN,,,,NaN,,,,,,NaN
370,NaN,,NaN,-17,50,100,NaN,-17,,51,-17,-38,NaN
371,NaN,,NaN,,,,NaN,,,,,,NaN
372,NaN,,NaN,-17,50,100,NaN,-17,,51,-17,-38,NaN
373,NaN,,NaN,,,,NaN,,,,,,NaN
