time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
174,NaN,,,,,,NaN,,NaN,,,NaN,
175,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-48
176,NaN,,,,,,NaN,,NaN,,,NaN,
177,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-48
178,NaN,,,,,,NaN,,NaN,,,NaN,
179,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-48
180,NaN,,,,,,NaN,,NaN,,,NaN,
181,NaN,-2,,83,99,82,NaN,-2,NaN,,-2,NaN,-48
182,NaN,,,,,,NaN,,NaN,,,NaN,
183,NaN,-2,,82,99,82,NaN,-2,NaN,,-2,NaN,-48
184,NaN,,,,,,NaN,,NaN,,,NaN,
185,NaN,-2,,82,98,82,NaN,-2,NaN,,-2,NaN,-48
186,NaN,,,,,,NaN,,NaN,,,NaN,
187,NaN,-2,,83,98,83,NaN,-2,NaN,,-2,NaN,-48
188,NaN,,,,,,NaN,,NaN,,,NaN,
189,NaN,-3,,84,98,84,NaN,-3,NaN,,-3,NaN,-47
190,NaN,,,,,,NaN,,NaN,,,NaN,
191,NaN,-3,,85,98,85,NaN,-3,NaN,,-3,NaN,-47
192,NaN,,,,,,NaN,,NaN,,,NaN,
193,NaN,-3,,87,98,86,NaN,-3,NaN,,-3,NaN,-47
194,NaN,,,,,,NaN,,NaN,,,NaN,
195,NaN,-3,,87,98,87,NaN,-3,NaN,,-3,NaN,-48
196,NaN,,,,,,NaN,,NaN,,,NaN,
197,NaN,-3,,87,99,87,NaN,-3,NaN,,-3,NaN,-48
198,NaN,,,,,,NaN,,NaN,,,NaN,
199,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
200,NaN,,,,,,NaN,,NaN,,,NaN,
201,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
202,NaN,,,,,,NaN,,NaN,,,NaN,
203,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
204,NaN,,,,,,NaN,,NaN,,,NaN,
205,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
206,NaN,,,,,,NaN,,NaN,,,NaN,
207,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-48
208,NaN,,,,,,NaN,,NaN,,,NaN,
209,NaN,-3,,84,99,84,NaN,1,NaN,,-6,NaN,-48
210,NaN,,,,,,NaN,,NaN,,,NaN,
211,NaN,-3,,84,99,83,NaN,1,NaN,,-5,NaN,-49
212,NaN,,,,,,NaN,,NaN,,,NaN,
213,NaN,-3,0,84,99,83,NaN,1,NaN,,-5,NaN,-49
214,NaN,,,,,,NaN,,NaN,,,NaN,
215,NaN,-3,0,84,99,83,NaN,-3,NaN,,-3,NaN,-49
