time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_SPO2
274,91,,-6,-8,NaN,-8,NaN,-8,NaN,0,89,NaN,100
275,,,,,NaN,,NaN,,NaN,,,NaN,
276,84,,-6,-8,NaN,-8,NaN,-8,NaN,0,83,NaN,100
277,,,,,NaN,,NaN,,NaN,,,NaN,
278,84,,-6,-8,NaN,-8,NaN,-8,NaN,0,97,NaN,100
279,,,,,NaN,,NaN,,NaN,,,NaN,
280,82,,-6,-8,NaN,-8,NaN,-8,NaN,0,115,NaN,100
281,,,,,NaN,,NaN,,NaN,,,NaN,
282,78,,-6,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
283,,,,,NaN,,NaN,,NaN,,,NaN,
284,82,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
285,,,,,NaN,,NaN,,NaN,,,NaN,
286,85,,-6,-8,NaN,-8,NaN,-8,NaN,,110,NaN,100
287,,,,,NaN,,NaN,,NaN,,,NaN,
288,85,,-6,-8,NaN,-8,NaN,-8,NaN,,106,NaN,100
289,,,,,NaN,,NaN,,NaN,,,NaN,
290,85,,-6,-6,NaN,-6,NaN,-6,NaN,,103,NaN,100
291,,,,,NaN,,NaN,,NaN,,,NaN,
292,84,,-6,-6,NaN,-6,NaN,-6,NaN,,87,NaN,100
293,,,,,NaN,,NaN,,NaN,,,NaN,
294,82,,-6,-6,NaN,-6,NaN,-6,NaN,,90,NaN,100
295,,,,,NaN,,NaN,,NaN,,,NaN,
296,84,,-6,-7,NaN,-7,NaN,-7,NaN,,97,NaN,100
297,,,,,NaN,,NaN,,NaN,,,NaN,
298,82,,-6,-6,NaN,-6,NaN,-6,NaN,,94,NaN,100
299,,,,,NaN,,NaN,,NaN,,,NaN,
300,83,,-6,-6,NaN,-6,NaN,-6,NaN,,89,NaN,100
301,,,,,NaN,,NaN,,NaN,,,NaN,
302,84,,-6,-6,NaN,-6,NaN,-6,NaN,,96,NaN,100
303,,,,,NaN,,NaN,,NaN,,,NaN,
304,82,,-5,-6,NaN,-6,NaN,-6,NaN,,106,NaN,100
305,,,,,NaN,,NaN,,NaN,,,NaN,
306,73,,-5,-6,NaN,-6,NaN,-6,NaN,,106,NaN,100
307,,,,,NaN,,NaN,,NaN,,,NaN,
308,69,,-5,-8,NaN,-8,NaN,-8,NaN,,94,NaN,100
309,,,,,NaN,,NaN,,NaN,,,NaN,
310,69,,-5,-2,NaN,-2,NaN,-2,NaN,,93,NaN,100
311,,,,,NaN,,NaN,,NaN,,,NaN,
312,67,,-5,-2,NaN,-2,NaN,-2,NaN,,88,NaN,100
313,,,,,NaN,,NaN,,NaN,,,NaN,
314,65,,-6,2,NaN,2,NaN,2,NaN,,92,NaN,100
315,,,,,NaN,,NaN,,NaN,,,NaN,
316,64,,-6,2,NaN,2,NaN,2,NaN,,101,NaN,100
317,,,,,NaN,,NaN,,NaN,,,NaN,
318,68,,-6,2,NaN,2,NaN,2,NaN,,96,NaN,100
319,,,,,NaN,,NaN,,NaN,,,NaN,
320,70,,-6,1,NaN,1,NaN,1,NaN,,92,NaN,100
321,,,,,NaN,,NaN,,NaN,,,NaN,
322,79,,-5,9,NaN,-18,NaN,-1,NaN,,97,NaN,100
323,,,,,NaN,,NaN,,NaN,,,NaN,
324,84,,-5,9,NaN,-18,NaN,-1,NaN,,101,NaN,100
325,,,,,NaN,,NaN,,NaN,,,NaN,
326,88,,-6,10,NaN,-14,NaN,-2,NaN,,87,NaN,100
327,,,,,NaN,,NaN,,NaN,,,NaN,
328,90,,-6,10,NaN,-14,NaN,-2,NaN,,87,NaN,100
329,,,,,NaN,,NaN,,NaN,,,NaN,
330,90,,-6,-8,NaN,-8,NaN,-8,NaN,,83,NaN,100
331,,,,,NaN,,NaN,,NaN,,,NaN,
332,93,,-6,-8,NaN,-8,NaN,-8,NaN,,85,NaN,100
333,,,,,NaN,,NaN,,NaN,,,NaN,
334,92,,-6,-8,NaN,-8,NaN,-8,NaN,,92,NaN,100
335,,,,,NaN,,NaN,,NaN,,,NaN,
336,89,,-6,-8,NaN,-8,NaN,-8,NaN,,88,NaN,100
337,,,,,NaN,,NaN,,NaN,,,NaN,
338,87,,-5,-8,NaN,-8,NaN,-8,NaN,,82,NaN,100
339,,,,,NaN,,NaN,,NaN,,,NaN,
340,82,,-5,-6,NaN,-9,NaN,-8,NaN,,83,NaN,100
341,,,,,NaN,,NaN,,NaN,,,NaN,
342,85,,-6,-6,NaN,-9,NaN,-8,NaN,,97,NaN,100
343,,,,,NaN,,NaN,,NaN,,,NaN,
344,85,,-6,-8,NaN,-8,NaN,-8,NaN,,111,NaN,100
345,,,,,NaN,,NaN,,NaN,,,NaN,
346,88,,-6,-8,NaN,-8,NaN,-8,NaN,,91,NaN,100
347,,,,,NaN,,NaN,,NaN,,,NaN,
348,89,,-6,-8,NaN,-8,NaN,-8,NaN,,86,NaN,100
349,,,,,NaN,,NaN,,NaN,,,NaN,
350,92,,-6,-8,NaN,-8,NaN,-8,NaN,,85,NaN,100
351,,,,,NaN,,NaN,,NaN,,,NaN,
352,96,,-6,-5,NaN,-5,NaN,-5,NaN,,96,NaN,100
353,,,,,NaN,,NaN,,NaN,,,NaN,
354,90,,-6,-5,NaN,-5,NaN,-5,NaN,,98,NaN,100
355,,,,,NaN,,NaN,,NaN,,,NaN,
356,96,,-6,-7,NaN,-7,NaN,-7,NaN,,108,NaN,100
357,,,,,NaN,,NaN,,NaN,,,NaN,
358,96,,-6,-7,NaN,-7,NaN,-7,NaN,,104,NaN,100
359,,,,,NaN,,NaN,,NaN,,,NaN,
360,106,,-6,-3,NaN,-3,NaN,-3,NaN,,107,NaN,100
361,,,,,NaN,,NaN,,NaN,,,NaN,
362,106,,-6,-3,NaN,-3,NaN,-3,NaN,,95,NaN,100
363,,,,,NaN,,NaN,,NaN,,,NaN,
364,104,,-6,2,NaN,2,NaN,2,NaN,,96,NaN,100
365,,,,,NaN,,NaN,,NaN,,,NaN,
366,98,,-6,2,NaN,2,NaN,2,NaN,,103,NaN,100
367,,,,,NaN,,NaN,,NaN,,,NaN,
368,96,,-6,-7,NaN,-7,NaN,-7,NaN,,103,NaN,100
369,,,,,NaN,,NaN,,NaN,,,NaN,
