time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP
299,,,NaN,NaN,,,,,NaN,,,,NaN
300,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
301,,,NaN,NaN,,,,,NaN,,,,NaN
302,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
303,,,NaN,NaN,,,,,NaN,,,,NaN
304,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
305,,,NaN,NaN,,,,,NaN,,,,NaN
306,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
307,,,NaN,NaN,,,,,NaN,,,,NaN
308,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
309,,,NaN,NaN,,,,,NaN,,,,NaN
310,-8,,NaN,NaN,-9,,,47,NaN,-4,,-7,NaN
311,,,NaN,NaN,,,,,NaN,,,,NaN
312,-8,,NaN,NaN,-9,,,48,NaN,-4,,-7,NaN
313,,,NaN,NaN,,,,,NaN,,,,NaN
314,-8,,NaN,NaN,-8,,,48,NaN,-8,,-7,NaN
315,,,NaN,NaN,,,,,NaN,,,,NaN
316,-8,,NaN,NaN,-8,,,48,NaN,-8,,-7,NaN
317,,,NaN,NaN,,,,,NaN,,,,NaN
318,-8,,NaN,NaN,-8,,,49,NaN,-8,,-7,NaN
319,,,NaN,NaN,,,,,NaN,,,,NaN
320,-8,,NaN,NaN,-8,,,50,NaN,-8,,-7,NaN
321,,,NaN,NaN,,,,,NaN,,,,NaN
322,-8,,NaN,NaN,-8,,,49,NaN,-8,,-7,NaN
323,,,NaN,NaN,,,,,NaN,,,,NaN
324,-8,,NaN,NaN,-8,,48,49,NaN,-8,100,-6,NaN
325,,,NaN,NaN,,,,,NaN,,,,NaN
326,-7,,NaN,NaN,-7,,48,49,NaN,-7,100,-6,NaN
327,,,NaN,NaN,,,,,NaN,,,,NaN
328,-7,,NaN,NaN,-7,,49,49,NaN,-7,100,-6,NaN
329,,,NaN,NaN,,,,,NaN,,,,NaN
330,-7,,NaN,NaN,-7,,49,49,NaN,-7,100,-6,NaN
331,,,NaN,NaN,,,,,NaN,,,,NaN
332,-7,,NaN,NaN,-7,,50,49,NaN,-7,100,-5,NaN
333,,,NaN,NaN,,,,,NaN,,,,NaN
334,-7,,NaN,NaN,-7,,49,49,NaN,-7,100,-5,NaN
335,,,NaN,NaN,,,,,NaN,,,,NaN
336,-7,,NaN,NaN,-7,,49,49,NaN,-7,100,-6,NaN
337,,,NaN,NaN,,,,,NaN,,,,NaN
338,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
339,,,NaN,NaN,,,,,NaN,,,,NaN
340,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
341,,,NaN,NaN,,,,,NaN,,,,NaN
342,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-6,NaN
343,,,NaN,NaN,,,,,NaN,,,,NaN
344,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-6,NaN
345,,,NaN,NaN,,,,,NaN,,,,NaN
346,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-6,NaN
347,,,NaN,NaN,,,,,NaN,,,,NaN
348,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-6,NaN
349,,,NaN,NaN,,,,,NaN,,,,NaN
350,-8,,NaN,NaN,-8,,48,47,NaN,-8,100,-6,NaN
351,,,NaN,NaN,,,,,NaN,,,,NaN
352,-8,,NaN,NaN,-8,,48,47,NaN,-8,100,-6,NaN
353,,,NaN,NaN,,,,,NaN,,,,NaN
354,-8,,NaN,NaN,-8,,48,47,NaN,-8,100,-6,NaN
355,,,NaN,NaN,,,,,NaN,,,,NaN
356,-8,,NaN,NaN,-8,,47,47,NaN,-8,100,-6,NaN
357,,,NaN,NaN,,,,,NaN,,,,NaN
358,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-6,NaN
359,,,NaN,NaN,,,,,NaN,,,,NaN
360,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-6,NaN
361,,,NaN,NaN,,,,,NaN,,,,NaN
362,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-6,NaN
363,,,NaN,NaN,,,,,NaN,,,,NaN
364,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-6,NaN
